Designator,Mid X,Mid Y,Rotation,Layer
D1,-19.0,-11.5,180.0,top
D10,0.0,-34.5,0.0,top
D2,-22.0,3.0,180.0,top
D3,-15.0,16.5,180.0,top
D4,0.0,22.25,180.0,top
D5,15.0,16.5,0.0,top
D6,22.0,3.0,0.0,top
D7,19.0,-11.5,0.0,top
D8,0.0,-21.5,0.0,top
D9,0.0,-28.0,0.0,top
J1,-11.0,-15.25,90.0,bottom
J2,11.0,-30.5,270.0,bottom
J3,-11.0,-30.5,90.0,bottom
R1,-21.5,-18.25,90.0,top
R2,-11.0,-1.5,0.0,top
R3,-11.0,-4.0,180.0,top
R4,-11.0,3.5,0.0,top
R5,-11.0,6.0,180.0,top
R6,10.5,3.5,180.0,top
R7,10.5,-1.5,180.0,top
SW1,-0.25,1.0,0.0,top
